         68004 function calls (66873 primitive calls) in 0.131 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.131    0.131 /home/iseng/miniconda3/envs/py3/lib/python3.10/site-packages/memory_profiler.py:1185(wrapper)
        1    0.000    0.000    0.106    0.106 /home/iseng/miniconda3/envs/py3/lib/python3.10/site-packages/memory_profiler.py:759(f)
        1    0.000    0.000    0.106    0.106 orchestrator.py:24(execute_downward)
        1    0.000    0.000    0.105    0.105 /home/iseng/miniconda3/envs/py3/lib/python3.10/subprocess.py:461(run)
        1    0.000    0.000    0.105    0.105 /home/iseng/miniconda3/envs/py3/lib/python3.10/subprocess.py:1110(communicate)
        1    0.104    0.104    0.104    0.104 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.025    0.025 /home/iseng/miniconda3/envs/py3/lib/python3.10/site-packages/memory_profiler.py:713(__call__)
        1    0.000    0.000    0.025    0.025 /home/iseng/miniconda3/envs/py3/lib/python3.10/site-packages/memory_profiler.py:728(add_function)
        1    0.000    0.000    0.025    0.025 /home/iseng/miniconda3/envs/py3/lib/python3.10/site-packages/memory_profiler.py:645(add)
        1    0.000    0.000    0.025    0.025 /home/iseng/miniconda3/envs/py3/lib/python3.10/inspect.py:1120(getsourcelines)
        1    0.000    0.000    0.020    0.020 /home/iseng/miniconda3/envs/py3/lib/python3.10/inspect.py:932(findsource)
        1    0.001    0.001    0.020    0.020 /home/iseng/miniconda3/envs/py3/lib/python3.10/inspect.py:850(getmodule)
      316    0.000    0.000    0.014    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/posixpath.py:391(realpath)
      316    0.003    0.000    0.012    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/posixpath.py:400(_joinrealpath)
        2    0.000    0.000    0.005    0.003 /home/iseng/miniconda3/envs/py3/lib/python3.10/re.py:249(compile)
        2    0.000    0.000    0.005    0.003 /home/iseng/miniconda3/envs/py3/lib/python3.10/re.py:288(_compile)
        2    0.000    0.000    0.005    0.002 /home/iseng/miniconda3/envs/py3/lib/python3.10/sre_compile.py:783(compile)
        1    0.000    0.000    0.005    0.005 /home/iseng/miniconda3/envs/py3/lib/python3.10/inspect.py:1109(getblock)
      317    0.000    0.000    0.005    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/inspect.py:838(getabsfile)
       42    0.000    0.000    0.005    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/tokenize.py:431(_tokenize)
        1    0.000    0.000    0.005    0.005 /home/iseng/miniconda3/envs/py3/lib/python3.10/tokenize.py:99(_compile)
     2870    0.003    0.000    0.005    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/posixpath.py:71(join)
      633    0.000    0.000    0.004    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/posixpath.py:376(abspath)
        2    0.000    0.000    0.003    0.002 /home/iseng/miniconda3/envs/py3/lib/python3.10/sre_parse.py:944(parse)
     52/2    0.000    0.000    0.003    0.002 /home/iseng/miniconda3/envs/py3/lib/python3.10/sre_parse.py:436(_parse_sub)
    221/5    0.001    0.000    0.003    0.001 /home/iseng/miniconda3/envs/py3/lib/python3.10/sre_parse.py:494(_parse)
     2869    0.003    0.000    0.003    0.000 {built-in method posix.lstat}
      633    0.002    0.000    0.003    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/posixpath.py:337(normpath)
      317    0.001    0.000    0.002    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/inspect.py:813(getsourcefile)
        2    0.000    0.000    0.002    0.001 /home/iseng/miniconda3/envs/py3/lib/python3.10/sre_compile.py:622(_code)
    280/2    0.001    0.000    0.002    0.001 /home/iseng/miniconda3/envs/py3/lib/python3.10/sre_compile.py:87(_compile)
     3821    0.001    0.000    0.001    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/posixpath.py:41(_get_sep)
      949    0.000    0.000    0.001    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/posixpath.py:60(isabs)
      634    0.000    0.000    0.001    0.000 {built-in method builtins.any}
     5085    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
      287    0.000    0.000    0.001    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/genericpath.py:16(exists)
        1    0.000    0.000    0.001    0.001 /home/iseng/miniconda3/envs/py3/lib/python3.10/subprocess.py:758(__init__)
     8863    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
     7051    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
     4396    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      288    0.001    0.000    0.001    0.000 {built-in method posix.stat}
   306/29    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/sre_parse.py:175(getwidth)
       26    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/sre_parse.py:97(closegroup)
     1537    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/sre_parse.py:165(__getitem__)
        1    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/subprocess.py:1687(_execute_child)
     5721    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
     2869    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
      667    0.000    0.000    0.000    0.000 /home/iseng/miniconda3/envs/py3/lib/python3.10/sre_parse.py:255(get)
